osmid,x,y
2509040511,73.2550095,55.0396457
2509040514,73.2554754,55.0397703
2512431276,73.4034406,54.9943
2513575505,73.4739442,54.9280828
2513575507,73.4714219,54.9283134
2513575544,73.4771246,54.9296299
2515906885,73.4496453,54.9179662
2521830766,73.3161959,54.9235722
2521852059,73.4268887,55.0462213
2523910548,73.3723804,55.0178977
2528849818,73.4019864,54.9717395
2533120251,73.4010294,55.0061676
2537602178,73.2710677,54.9745053
2537602180,73.267985,54.9774842
2540795196,73.4239965,55.021856
2567522964,73.4489161,54.9117873
2572500292,73.4667558,54.9495606
2573973701,73.2574716,55.0241406
2573973702,73.2559644,55.0241426
2573973738,73.2586756,55.0250552
2573973739,73.2574753,55.0250568
2573973740,73.2561042,55.0250556
2583165146,73.4719951,54.9164661
2583165161,73.4721301,54.9168095
2592691577,73.384108,54.9122593
2592691610,73.381303,54.912629
2592691677,73.3791582,54.9130526
2592692045,73.3802387,54.9150685
2596231589,73.4289295,54.9937794
2596324170,73.3886068,54.9822092
2596324172,73.3887027,54.9822151
2596328295,73.3462042,54.9417801
2623043898,73.4288599,54.9771556
2623070860,73.3379727,55.0385119
2623070866,73.339997,55.0399589
2623082314,73.2838997,55.0608055
2633413317,73.3201807,55.0343502
2633519187,73.3610831,54.915008
2658857380,73.4573272,54.9714949
2663347322,73.3341609,54.9285844
2681592104,73.2681717,54.9647534
2689318778,73.3971343,54.9838573
2690742689,73.2933805,55.0130259
2692180281,73.3523744,54.9143539
