u,v
410392227,410498912
410392227,410520701
410392227,7374797639
410394029,1103200784
410410135,2131791369
410410135,1237008437
410410135,410107725
410410136,2291411152
410410136,242921667
410410136,2027449212
410410137,472791408
410410137,472791477
410410137,484162867
410410138,410410139
410410138,453025654
410410138,421848292
410410139,410410138
410410139,9790241047
410410140,2491860514
410410140,410410141
410410140,2987171671
410410140,453025605
410410141,410410140
410410141,410410151
410410141,985394936
410410141,2321418317
410410143,4214933287
410410143,1502604179
410410144,453025699
410410144,410987125
410410144,410988327
410410145,410986664
410410145,410988325
410410145,410410144
410410146,2491856680
410410146,410988388
410410147,410410146
410410147,410982512
410410148,453025621
410410148,410989093
410410148,410981970
410410149,1202747326
410410149,410250993
410410149,1015938847
410410150,410548257
410410150,410603547
410410150,410552450
410410151,1395823059
410410151,410410141
410410151,1877182043
410410151,775505176
410410153,4111767029
410410153,1259865019
410410153,3580486190
410410153,465803845
410410157,410249673
410410157,410249670
410410157,410246736
410410157,410249541
410410160,410175750
410410160,473636036
410494211,410500790
410494211,410522376
410494211,410504214
410494211,410497152
410497152,410522380
410497152,410498767
410497152,410494211
410497152,410521571
410498764,410502981
410498764,410502979
410498764,3762166874
410498767,410528479
410498767,410497152
410498767,410504214
410498767,410523410
410498910,410520705
410498910,410536010
410498910,410534552
410498910,410521571
410498911,410516555
410498911,410520704
410498911,410536821
410498911,410521573
410498912,410515580
410498912,410392227
410498912,2920014330
410499069,410530975
410499069,410503689
410499069,410528479
410500550,1880373703
410500550,1880373706
410500550,2495746923
410500550,2789738884
410500552,410500790
410500552,410500946
410500552,410522372
410500552,474622894
410500554,452946221
410500554,1237127251
410500554,410500792
410500788,410500789
410500788,5217527543
410500788,410524197
410500789,612933706
410500789,2515906885
410500789,410500788
410500789,5217527545
410500790,612933706
410500790,410500552
410500790,410494211
410500790,410522374
410500792,452949051
410500792,410500554
410500792,452949069
410500946,3659200905
410500946,452951944
410500946,410500552
410502902,3762166874
410502902,2515906885
410502902,1834914465
410502902,1411778746
410502909,3659200905
410502909,5217527549
410502909,2495746942
410502909,410504592
410502910,3659200913
410502910,410504594
410502910,410502912
410502912,410504774
410502912,410502910
410502912,410235416
410502979,410503689
410502979,410498764
410502979,410502981
410502981,410528479
410502981,410498764
410502981,410504220
410502981,410502979
410503689,410499069
410503689,410502979
410503689,410530972
410504214,410498767
410504214,612933706
410504214,410504220
410504214,410494211
410504220,410502981
410504220,1834914465
410504220,410504214
410504569,410505041
410504569,2789738884
410504569,410505179
410504592,410525595
410504592,410504594
410504592,410502909
410504594,410502910
410504594,410505041
410504594,410504774
410504594,410504592
410504774,410505040
410504774,410502912
410504774,410504594
410505040,410505179
410505040,410504774
410505040,410505041
410505041,410504594
410505041,410504569
410505041,410505043
410505041,410505040
410505043,1880373706
410505043,410505041
410505043,410525595
410505179,410505040
410505179,410504569
410505179,929841703
410513380,410518322
410513380,410518447
410513380,1502918716
410514897,410515581
410514897,410518447
410515575,410516550
